gene,confidence_tier,source_surfy,source_go,uniprot_id,description,length
SLC4A4,Tier2_SURFY_only,True,False,Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1,1079
SLC39A2,Tier2_SURFY_only,True,False,Q9NP94,Zinc transporter ZIP2,309
CD164,Tier2_SURFY_only,True,False,Q04900,Sialomucin core protein 24,197
MRC1,Tier2_SURFY_only,True,False,P22897,Macrophage mannose receptor 1,1456
LRRC37A3,Tier2_SURFY_only,True,False,O60309,Leucine-rich repeat-containing protein 37A3,1634
ASIC5,Tier2_SURFY_only,True,False,Q9NY37,Acid-sensing ion channel 5,505
OR9G4,Tier2_SURFY_only,True,False,Q8NGQ1,Olfactory receptor 9G4,327
OR1J1,Tier2_SURFY_only,True,False,Q8NGS3,Olfactory receptor 1J1,322
C3orf80,Tier2_SURFY_only,True,False,F5H4A9,Uncharacterized membrane protein C3orf80,247
BAI3,Tier2_SURFY_only,True,False,O60242,Brain-specific angiogenesis inhibitor 3,1522
OR12D2,Tier2_SURFY_only,True,False,P58182,Olfactory receptor 12D2,307
IZUMO3,Tier2_SURFY_only,True,False,Q5VZ72,Izumo sperm-egg fusion protein 3,239
SLC5A1,Tier2_SURFY_only,True,False,P13866,Sodium/glucose cotransporter 1,664
PTPRN,Tier2_SURFY_only,True,False,Q16849,Receptor-type tyrosine-protein phosphatase-like N,979
GPC4,Tier2_SURFY_only,True,False,O75487,Glypican-4,556
SLC22A8,Tier2_SURFY_only,True,False,Q8TCC7,Solute carrier family 22 member 8,542
NCAM1,Tier2_SURFY_only,True,False,P13591,Neural cell adhesion molecule 1,858
NTRK2,Tier2_SURFY_only,True,False,Q16620,BDNF/NT-3 growth factors receptor,822
GYPA,Tier2_SURFY_only,True,False,P02724,Glycophorin-A,150
OR13H1,Tier2_SURFY_only,True,False,Q8NG92,Olfactory receptor 13H1,308
BTNL9,Tier2_SURFY_only,True,False,Q6UXG8,Butyrophilin-like protein 9,535
OR8A1,Tier2_SURFY_only,True,False,Q8NGG7,Olfactory receptor 8A1,326
OR1J4,Tier2_SURFY_only,True,False,Q8NGS1,Olfactory receptor 1J4,313
CALHM2,Tier2_SURFY_only,True,False,Q9HA72,Calcium homeostasis modulator protein 2,323
MYADM,Tier2_SURFY_only,True,False,Q96S97,Myeloid-associated differentiation marker,322
S1PR4,Tier2_SURFY_only,True,False,O95977,Sphingosine 1-phosphate receptor 4,384
PCDHAC2,Tier2_SURFY_only,True,False,Q9Y5I4,Protocadherin alpha-C2,1007
TAS2R4,Tier2_SURFY_only,True,False,Q9NYW5,Taste receptor type 2 member 4,299
CLDN3,Tier2_SURFY_only,True,False,O15551,Claudin-3,220
FAS,Tier2_SURFY_only,True,False,P25445,Tumor necrosis factor receptor superfamily member 6,335
GPR85,Tier2_SURFY_only,True,False,P60893,Probable G-protein coupled receptor 85,370
OPCML,Tier2_SURFY_only,True,False,Q14982,Opioid-binding protein/cell adhesion molecule,345
GJB3,Tier2_SURFY_only,True,False,O75712,Gap junction beta-3 protein,270
CDH18,Tier2_SURFY_only,True,False,Q13634,Cadherin-18,790
UNC5A,Tier2_SURFY_only,True,False,Q6ZN44,Netrin receptor UNC5A,842
OR2M5,Tier2_SURFY_only,True,False,A3KFT3,Olfactory receptor 2M5,312
OR5AS1,Tier2_SURFY_only,True,False,Q8N127,Olfactory receptor 5AS1,324
GPR17,Tier2_SURFY_only,True,False,Q13304,Uracil nucleotide/cysteinyl leukotriene receptor,367
SIGLEC8,Tier2_SURFY_only,True,False,Q9NYZ4,Sialic acid-binding Ig-like lectin 8,499
SUSD5,Tier2_SURFY_only,True,False,O60279,Sushi domain-containing protein 5,629
LRRC3B,Tier2_SURFY_only,True,False,Q96PB8,Leucine-rich repeat-containing protein 3B,259
IL12RB1,Tier2_SURFY_only,True,False,P42701,Interleukin-12 receptor subunit beta-1,662
HLA-DOA,Tier2_SURFY_only,True,False,P06340,"HLA class II histocompatibility antigen, DO alpha chain",250
CNTNAP3,Tier2_SURFY_only,True,False,Q9BZ76,Contactin-associated protein-like 3,1288
ANO1,Tier2_SURFY_only,True,False,Q5XXA6,Anoctamin-1,986
EPHB4,Tier2_SURFY_only,True,False,P54760,Ephrin type-B receptor 4,987
EMR2,Tier2_SURFY_only,True,False,Q9UHX3,EGF-like module-containing mucin-like hormone receptor-like 2,823
ISLR2,Tier2_SURFY_only,True,False,Q6UXK2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,745
OR2W3,Tier2_SURFY_only,True,False,Q7Z3T1,Olfactory receptor 2W3,314
NTRK1,Tier2_SURFY_only,True,False,P04629,High affinity nerve growth factor receptor,796
KLRK1,Tier2_SURFY_only,True,False,P26718,NKG2-D type II integral membrane protein,216
CD244,Tier2_SURFY_only,True,False,Q9BZW8,Natural killer cell receptor 2B4,370
OXTR,Tier2_SURFY_only,True,False,P30559,Oxytocin receptor,389
OR10X1,Tier2_SURFY_only,True,False,Q8NGY0,Olfactory receptor 10X1,326
SLC41A1,Tier2_SURFY_only,True,False,Q8IVJ1,Solute carrier family 41 member 1,513
SLAMF7,Tier2_SURFY_only,True,False,Q9NQ25,SLAM family member 7,335
OR2F1,Tier2_SURFY_only,True,False,Q13607,Olfactory receptor 2F1,317
ADAM18,Tier2_SURFY_only,True,False,Q9Y3Q7,Disintegrin and metalloproteinase domain-containing protein 18,739
CD48,Tier2_SURFY_only,True,False,P09326,CD48 antigen,243
LILRA1,Tier2_SURFY_only,True,False,O75019,Leukocyte immunoglobulin-like receptor subfamily A member 1,489
CACNG1,Tier2_SURFY_only,True,False,Q06432,Voltage-dependent calcium channel gamma-1 subunit,222
SLC12A5,Tier2_SURFY_only,True,False,Q9H2X9,Solute carrier family 12 member 5,1139
GPRC6A,Tier2_SURFY_only,True,False,Q5T6X5,G-protein coupled receptor family C group 6 member A,926
CADM4,Tier2_SURFY_only,True,False,Q8NFZ8,Cell adhesion molecule 4,388
LYSMD3,Tier2_SURFY_only,True,False,Q7Z3D4,LysM and putative peptidoglycan-binding domain-containing protein 3,306
SIGLECL1,Tier2_SURFY_only,True,False,Q8N7X8,SIGLEC family-like protein 1,197
PLXNA1,Tier2_SURFY_only,True,False,Q9UIW2,Plexin-A1,1896
FAIM2,Tier2_SURFY_only,True,False,Q9BWQ8,Protein lifeguard 2,316
GPR101,Tier2_SURFY_only,True,False,Q96P66,Probable G-protein coupled receptor 101,508
CLDN18,Tier2_SURFY_only,True,False,P56856,Claudin-18,261
SLC7A9,Tier2_SURFY_only,True,False,P82251,"b(0,+)-type amino acid transporter 1",487
PLA2R1,Tier2_SURFY_only,True,False,Q13018,Secretory phospholipase A2 receptor,1463
ITGA3,Tier2_SURFY_only,True,False,P26006,Integrin alpha-3,1051
EPHA2,Tier2_SURFY_only,True,False,P29317,Ephrin type-A receptor 2,976
PCDHA11,Tier2_SURFY_only,True,False,Q9Y5I1,Protocadherin alpha-11,949
CD300C,Tier2_SURFY_only,True,False,Q08708,CMRF35-like molecule 6,224
GPR114,Tier2_SURFY_only,True,False,Q8IZF4,Probable G-protein coupled receptor 114,528
IL31RA,Tier2_SURFY_only,True,False,Q8NI17,Interleukin-31 receptor subunit alpha,732
F11R,Tier2_SURFY_only,True,False,Q9Y624,Junctional adhesion molecule A,299
CD274,Tier2_SURFY_only,True,False,Q9NZQ7,Programmed cell death 1 ligand 1,290
GABRQ,Tier2_SURFY_only,True,False,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,632
KIAA1644,Tier2_SURFY_only,True,False,Q3SXP7,Uncharacterized protein KIAA1644,199
NFAM1,Tier2_SURFY_only,True,False,Q8NET5,NFAT activation molecule 1,270
GP2,Tier2_SURFY_only,True,False,P55259,Pancreatic secretory granule membrane major glycoprotein GP2,537
UTS2R,Tier2_SURFY_only,True,False,Q9UKP6,Urotensin-2 receptor,389
KLRC2,Tier2_SURFY_only,True,False,P26717,NKG2-C type II integral membrane protein,231
ITGA1,Tier2_SURFY_only,True,False,P56199,Integrin alpha-1,1179
CD151,Tier2_SURFY_only,True,False,P48509,CD151 antigen,253
CDHR5,Tier2_SURFY_only,True,False,Q9HBB8,Cadherin-related family member 5,845
CD177,Tier2_SURFY_only,True,False,Q8N6Q3,CD177 antigen,437
GABRR2,Tier2_SURFY_only,True,False,P28476,Gamma-aminobutyric acid receptor subunit rho-2,465
CDH3,Tier2_SURFY_only,True,False,P22223,Cadherin-3,829
OR2W1,Tier2_SURFY_only,True,False,Q9Y3N9,Olfactory receptor 2W1,320
OR52N5,Tier2_SURFY_only,True,False,Q8NH56,Olfactory receptor 52N5,324
CHRNA2,Tier2_SURFY_only,True,False,Q15822,Neuronal acetylcholine receptor subunit alpha-2,529
GPR156,Tier2_SURFY_only,True,False,Q8NFN8,Probable G-protein coupled receptor 156,814
TEK,Tier2_SURFY_only,True,False,Q02763,Angiopoietin-1 receptor,1124
GJB5,Tier2_SURFY_only,True,False,O95377,Gap junction beta-5 protein,273
SLC36A4,Tier2_SURFY_only,True,False,Q6YBV0,Proton-coupled amino acid transporter 4,504
DLL3,Tier2_SURFY_only,True,False,Q9NYJ7,Delta-like protein 3,618
OR51G2,Tier2_SURFY_only,True,False,Q8NGK0,Olfactory receptor 51G2,314
OR8I2,Tier2_SURFY_only,True,False,Q8N0Y5,Olfactory receptor 8I2,310
LPPR1,Tier2_SURFY_only,True,False,Q8TBJ4,Lipid phosphate phosphatase-related protein type 1,325
CHRNA9,Tier2_SURFY_only,True,False,Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9,479
OR4A8P,Tier2_SURFY_only,True,False,P0C604,Putative olfactory receptor 4A8,315
FCAMR,Tier2_SURFY_only,True,False,Q8WWV6,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,532
OR5AC2,Tier2_SURFY_only,True,False,Q9NZP5,Olfactory receptor 5AC2,309
ALK,Tier2_SURFY_only,True,False,Q9UM73,ALK tyrosine kinase receptor,1620
GP1BA,Tier2_SURFY_only,True,False,P07359,Platelet glycoprotein Ib alpha chain,652
ESYT3,Tier2_SURFY_only,True,False,A0FGR9,Extended synaptotagmin-3,886
PKDREJ,Tier2_SURFY_only,True,False,Q9NTG1,Polycystic kidney disease and receptor for egg jelly-related protein,2253
SLC5A9,Tier2_SURFY_only,True,False,Q2M3M2,Sodium/glucose cotransporter 4,681
SLC7A10,Tier2_SURFY_only,True,False,Q9NS82,Asc-type amino acid transporter 1,523
LILRA6,Tier2_SURFY_only,True,False,Q6PI73,Leukocyte immunoglobulin-like receptor subfamily A member 6,481
CD276,Tier2_SURFY_only,True,False,Q5ZPR3,CD276 antigen,534
TNFRSF8,Tier2_SURFY_only,True,False,P28908,Tumor necrosis factor receptor superfamily member 8,595
ERVFRD-1,Tier2_SURFY_only,True,False,P60508,Syncytin-2,538
OR5K4,Tier2_SURFY_only,True,False,A6NMS3,Olfactory receptor 5K4,321
TGOLN2,Tier2_SURFY_only,True,False,O43493,Trans-Golgi network integral membrane protein 2,480
GPR19,Tier2_SURFY_only,True,False,Q15760,Probable G-protein coupled receptor 19,415
ADAM33,Tier2_SURFY_only,True,False,Q9BZ11,Disintegrin and metalloproteinase domain-containing protein 33,813
VNN3,Tier2_SURFY_only,True,False,Q9NY84,Vascular non-inflammatory molecule 3,501
OR2V1,Tier2_SURFY_only,True,False,Q8NHB1,Olfactory receptor 2V1,315
UBAC2,Tier2_SURFY_only,True,False,Q8NBM4,Ubiquitin-associated domain-containing protein 2,344
ERBB3,Tier2_SURFY_only,True,False,P21860,Receptor tyrosine-protein kinase erbB-3,1342
NPTN,Tier2_SURFY_only,True,False,Q9Y639,Neuroplastin,398
FCGR2B,Tier2_SURFY_only,True,False,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,310
PCDH17,Tier2_SURFY_only,True,False,O14917,Protocadherin-17,1159
OR5T3,Tier2_SURFY_only,True,False,Q8NGG3,Olfactory receptor 5T3,340
SLC41A2,Tier2_SURFY_only,True,False,Q96JW4,Solute carrier family 41 member 2,573
CLEC17A,Tier2_SURFY_only,True,False,Q6ZS10,"C-type lectin domain family 17, member A",378
OR2I1P,Tier2_SURFY_only,True,False,Q8NGU4,Putative olfactory receptor 2I1,316
SLC7A14,Tier2_SURFY_only,True,False,Q8TBB6,Probable cationic amino acid transporter,771
SLC6A18,Tier2_SURFY_only,True,False,Q96N87,Sodium-dependent neutral amino acid transporter B(0)AT3,628
ALCAM,Tier2_SURFY_only,True,False,Q13740,CD166 antigen,583
APP,Tier2_SURFY_only,True,False,P05067,Amyloid beta A4 protein,770
KIAA0319,Tier2_SURFY_only,True,False,Q5VV43,Dyslexia-associated protein KIAA0319,1072
HLA-DQB2,Tier2_SURFY_only,True,False,P05538,"HLA class II histocompatibility antigen, DQ beta 2 chain",268
NIPAL3,Tier2_SURFY_only,True,False,Q6P499,NIPA-like protein 3,406
FAT2,Tier2_SURFY_only,True,False,Q9NYQ8,Protocadherin Fat 2,4349
GJD2,Tier2_SURFY_only,True,False,Q9UKL4,Gap junction delta-2 protein,321
IFNAR1,Tier2_SURFY_only,True,False,P17181,Interferon alpha/beta receptor 1,557
SLC1A5,Tier2_SURFY_only,True,False,Q15758,Neutral amino acid transporter B(0),541
OR6Q1,Tier2_SURFY_only,True,False,Q8NGQ2,Olfactory receptor 6Q1,317
MS4A15,Tier2_SURFY_only,True,False,Q8N5U1,Membrane-spanning 4-domains subfamily A member 15,240
CLEC7A,Tier2_SURFY_only,True,False,Q9BXN2,C-type lectin domain family 7 member A,247
ELFN2,Tier2_SURFY_only,True,False,Q5R3F8,Protein phosphatase 1 regulatory subunit 29,820
P2RY14,Tier2_SURFY_only,True,False,Q15391,P2Y purinoceptor 14,338
GPR50,Tier2_SURFY_only,True,False,Q13585,Melatonin-related receptor,617
SLC6A5,Tier2_SURFY_only,True,False,Q9Y345,Sodium- and chloride-dependent glycine transporter 2,797
ANKH,Tier2_SURFY_only,True,False,Q9HCJ1,Progressive ankylosis protein homolog,492
GPRC5B,Tier2_SURFY_only,True,False,Q9NZH0,G-protein coupled receptor family C group 5 member B,403
OR2H1,Tier2_SURFY_only,True,False,Q9GZK4,Olfactory receptor 2H1,316
MICA,Tier2_SURFY_only,True,False,Q29983,MHC class I polypeptide-related sequence A,383
TSPAN7,Tier2_SURFY_only,True,False,P41732,Tetraspanin-7,249
OR52P1P,Tier2_SURFY_only,True,False,Q8NH57,Putative olfactory receptor 52P1,321
LPAR3,Tier2_SURFY_only,True,False,Q9UBY5,Lysophosphatidic acid receptor 3,353
FCRL6,Tier2_SURFY_only,True,False,Q6DN72,Fc receptor-like protein 6,434
CEACAM7,Tier2_SURFY_only,True,False,Q14002,Carcinoembryonic antigen-related cell adhesion molecule 7,265
IL20RA,Tier2_SURFY_only,True,False,Q9UHF4,Interleukin-20 receptor subunit alpha,553
ADAM17,Tier2_SURFY_only,True,False,P78536,Disintegrin and metalloproteinase domain-containing protein 17,824
VN1R4,Tier2_SURFY_only,True,False,Q7Z5H5,Vomeronasal type-1 receptor 4,301
DSG4,Tier2_SURFY_only,True,False,Q86SJ6,Desmoglein-4,1040
CA12,Tier2_SURFY_only,True,False,O43570,Carbonic anhydrase 12,354
VCAM1,Tier2_SURFY_only,True,False,P19320,Vascular cell adhesion protein 1,739
CDH24,Tier2_SURFY_only,True,False,Q86UP0,Cadherin-24,819
SDC2,Tier2_SURFY_only,True,False,P34741,Syndecan-2,201
SLC39A10,Tier2_SURFY_only,True,False,Q9ULF5,Zinc transporter ZIP10,831
OSMR,Tier2_SURFY_only,True,False,Q99650,Oncostatin-M-specific receptor subunit beta,979
MPZL2,Tier2_SURFY_only,True,False,O60487,Myelin protein zero-like protein 2,215
OR1J2,Tier2_SURFY_only,True,False,Q8NGS2,Olfactory receptor 1J2,313
HTR3B,Tier2_SURFY_only,True,False,O95264,5-hydroxytryptamine receptor 3B,441
OR10J4,Tier2_SURFY_only,True,False,P0C629,Olfactory receptor 10J4,311
OR11L1,Tier2_SURFY_only,True,False,Q8NGX0,Olfactory receptor 11L1,322
FGFRL1,Tier2_SURFY_only,True,False,Q8N441,Fibroblast growth factor receptor-like 1,504
TMEM178A,Tier2_SURFY_only,True,False,Q8NBL3,Transmembrane protein 178A,297
BEST4,Tier2_SURFY_only,True,False,Q8NFU0,Bestrophin-4,473
PLXNB3,Tier2_SURFY_only,True,False,Q9ULL4,Plexin-B3,1909
CHRNB1,Tier2_SURFY_only,True,False,P11230,Acetylcholine receptor subunit beta,501
OR10W1,Tier2_SURFY_only,True,False,Q8NGF6,Olfactory receptor 10W1,305
OR2G2,Tier2_SURFY_only,True,False,Q8NGZ5,Olfactory receptor 2G2,317
SLC1A4,Tier2_SURFY_only,True,False,P43007,Neutral amino acid transporter A,532
CD34,Tier2_SURFY_only,True,False,P28906,Hematopoietic progenitor cell antigen CD34,385
CLDN15,Tier2_SURFY_only,True,False,P56746,Claudin-15,228
DRD5,Tier2_SURFY_only,True,False,P21918,D(1B) dopamine receptor,477
GPR143,Tier2_SURFY_only,True,False,P51810,G-protein coupled receptor 143,404
LPAR4,Tier2_SURFY_only,True,False,Q99677,Lysophosphatidic acid receptor 4,370
VSIG8,Tier2_SURFY_only,True,False,Q5VU13,V-set and immunoglobulin domain-containing protein 8,414
OR2M3,Tier2_SURFY_only,True,False,Q8NG83,Olfactory receptor 2M3,312
FKRP,Tier2_SURFY_only,True,False,Q9H9S5,Fukutin-related protein,495
LMAN2,Tier2_SURFY_only,True,False,Q12907,Vesicular integral-membrane protein VIP36,356
PSCA,Tier2_SURFY_only,True,False,O43653,Prostate stem cell antigen,123
ERVK-25,Tier2_SURFY_only,True,False,P61570,Endogenous retrovirus group K member 25 Env polyprotein,661
P2RX6,Tier2_SURFY_only,True,False,O15547,P2X purinoceptor 6,441
P2RX1,Tier2_SURFY_only,True,False,P51575,P2X purinoceptor 1,399
CX3CL1,Tier2_SURFY_only,True,False,P78423,Fractalkine,397
CCR4,Tier2_SURFY_only,True,False,P51679,C-C chemokine receptor type 4,360
LRRC15,Tier2_SURFY_only,True,False,Q8TF66,Leucine-rich repeat-containing protein 15,581
CD44,Tier2_SURFY_only,True,False,P16070,CD44 antigen,742
P2RX7,Tier2_SURFY_only,True,False,Q99572,P2X purinoceptor 7,595
HTR1E,Tier2_SURFY_only,True,False,P28566,5-hydroxytryptamine receptor 1E,365
GPR113,Tier2_SURFY_only,True,False,Q8IZF5,Probable G-protein coupled receptor 113,1079
CXCR4,Tier2_SURFY_only,True,False,P61073,C-X-C chemokine receptor type 4,352
IGSF3,Tier2_SURFY_only,True,False,O75054,Immunoglobulin superfamily member 3,1194
IGF2R,Tier2_SURFY_only,True,False,P11717,Cation-independent mannose-6-phosphate receptor,2491
OR6C6,Tier2_SURFY_only,True,False,A6NF89,Olfactory receptor 6C6,314
KCNMB2,Tier2_SURFY_only,True,False,Q9Y691,Calcium-activated potassium channel subunit beta-2,235
TAS2R30,Tier2_SURFY_only,True,False,P59541,Taste receptor type 2 member 30,319
VN1R2,Tier2_SURFY_only,True,False,Q8NFZ6,Vomeronasal type-1 receptor 2,395
GPR84,Tier2_SURFY_only,True,False,Q9NQS5,G-protein coupled receptor 84,396
CLDN1,Tier2_SURFY_only,True,False,O95832,Claudin-1,211
S1PR1,Tier2_SURFY_only,True,False,P21453,Sphingosine 1-phosphate receptor 1,382
GALR1,Tier2_SURFY_only,True,False,P47211,Galanin receptor type 1,349
OR2A25,Tier2_SURFY_only,True,False,A4D2G3,Olfactory receptor 2A25,310
OR8D4,Tier2_SURFY_only,True,False,Q8NGM9,Olfactory receptor 8D4,314
LRRN1,Tier2_SURFY_only,True,False,Q6UXK5,Leucine-rich repeat neuronal protein 1,716
ITGA8,Tier2_SURFY_only,True,False,P53708,Integrin alpha-8,1063
ADAM28,Tier2_SURFY_only,True,False,Q9UKQ2,Disintegrin and metalloproteinase domain-containing protein 28,775
OR2AE1,Tier2_SURFY_only,True,False,Q8NHA4,Olfactory receptor 2AE1,323
CRLF2,Tier2_SURFY_only,True,False,Q9HC73,Cytokine receptor-like factor 2,371
HTR1B,Tier2_SURFY_only,True,False,P28222,5-hydroxytryptamine receptor 1B,390
RTN4R,Tier2_SURFY_only,True,False,Q9BZR6,Reticulon-4 receptor,473
PCDH12,Tier2_SURFY_only,True,False,Q9NPG4,Protocadherin-12,1184
ITGA11,Tier2_SURFY_only,True,False,Q9UKX5,Integrin alpha-11,1188
CATSPERD,Tier2_SURFY_only,True,False,Q86XM0,Cation channel sperm-associated protein subunit delta,798
TAAR9,Tier2_SURFY_only,True,False,Q96RI9,Trace amine-associated receptor 9,348
MEP1A,Tier2_SURFY_only,True,False,Q16819,Meprin A subunit alpha,746
OR2K2,Tier2_SURFY_only,True,False,Q8NGT1,Olfactory receptor 2K2,345
GALR3,Tier2_SURFY_only,True,False,O60755,Galanin receptor type 3,368
CD93,Tier2_SURFY_only,True,False,Q9NPY3,Complement component C1q receptor,652
HAVCR1,Tier2_SURFY_only,True,False,Q96D42,Hepatitis A virus cellular receptor 1,359
OR56B1,Tier2_SURFY_only,True,False,Q8NGI3,Olfactory receptor 56B1,324
KIAA0247,Tier2_SURFY_only,True,False,Q92537,Uncharacterized protein KIAA0247,303
TMEM63B,Tier2_SURFY_only,True,False,Q5T3F8,CSC1-like protein 2,832
OR4M2,Tier2_SURFY_only,True,False,Q8NGB6,Olfactory receptor 4M2,313
OR52I2,Tier2_SURFY_only,True,False,Q8NH67,Olfactory receptor 52I2,350
MALRD1,Tier2_SURFY_only,True,False,Q5VYJ5,MAM and LDL-receptor class A domain-containing protein 1,1473
ITGB2,Tier2_SURFY_only,True,False,P05107,Integrin beta-2,769
HCAR2,Tier2_SURFY_only,True,False,Q8TDS4,Hydroxycarboxylic acid receptor 2,363
SIGLEC6,Tier2_SURFY_only,True,False,O43699,Sialic acid-binding Ig-like lectin 6,453
MDGA2,Tier2_SURFY_only,True,False,Q7Z553,MAM domain-containing glycosylphosphatidylinositol anchor protein 2,956
G6B,Tier2_SURFY_only,True,False,O95866,Protein G6b,241
TMPRSS6,Tier2_SURFY_only,True,False,Q8IU80,Transmembrane protease serine 6,811
RPRM,Tier2_SURFY_only,True,False,Q9NS64,Protein reprimo,109
F2RL1,Tier2_SURFY_only,True,False,P55085,Proteinase-activated receptor 2,397
PSEN1,Tier2_SURFY_only,True,False,P49768,Presenilin-1,467
TMEM106B,Tier2_SURFY_only,True,False,Q9NUM4,Transmembrane protein 106B,274
IL3RA,Tier2_SURFY_only,True,False,P26951,Interleukin-3 receptor subunit alpha,378
TAS2R9,Tier2_SURFY_only,True,False,Q9NYW1,Taste receptor type 2 member 9,312
OR11H4,Tier2_SURFY_only,True,False,Q8NGC9,Olfactory receptor 11H4,324
LRRN3,Tier2_SURFY_only,True,False,Q9H3W5,Leucine-rich repeat neuronal protein 3,708
LY6H,Tier2_SURFY_only,True,False,O94772,Lymphocyte antigen 6H,140
TREH,Tier2_SURFY_only,True,False,O43280,Trehalase,583
OR8B8,Tier2_SURFY_only,True,False,Q15620,Olfactory receptor 8B8,311
GPR110,Tier2_SURFY_only,True,False,Q5T601,Probable G-protein coupled receptor 110,910
GJA1,Tier2_SURFY_only,True,False,P17302,Gap junction alpha-1 protein,382
TGFA,Tier2_SURFY_only,True,False,P01135,Protransforming growth factor alpha,160
GPR112,Tier2_SURFY_only,True,False,Q8IZF6,Probable G-protein coupled receptor 112,3080
NFASC,Tier2_SURFY_only,True,False,O94856,Neurofascin,1347
SEMA4D,Tier2_SURFY_only,True,False,Q92854,Semaphorin-4D,862
TPRA1,Tier2_SURFY_only,True,False,Q86W33,Transmembrane protein adipocyte-associated 1,373
OR6N1,Tier2_SURFY_only,True,False,Q8NGY5,Olfactory receptor 6N1,312
MYADML2,Tier2_SURFY_only,True,False,A6NDP7,Myeloid-associated differentiation marker-like protein 2,307
SLC24A3,Tier2_SURFY_only,True,False,Q9HC58,Sodium/potassium/calcium exchanger 3,644
UMODL1,Tier2_SURFY_only,True,False,Q5DID0,Uromodulin-like 1,1318
ATP13A5,Tier2_SURFY_only,True,False,Q4VNC0,Probable cation-transporting ATPase 13A5,1218
LY6G6C,Tier2_SURFY_only,True,False,O95867,Lymphocyte antigen 6 complex locus protein G6c,125
GPR116,Tier2_SURFY_only,True,False,Q8IZF2,Probable G-protein coupled receptor 116,1346
ADAM32,Tier2_SURFY_only,True,False,Q8TC27,Disintegrin and metalloproteinase domain-containing protein 32,787
NOX4,Tier2_SURFY_only,True,False,Q9NPH5,NADPH oxidase 4,578
CCR8,Tier2_SURFY_only,True,False,P51685,C-C chemokine receptor type 8,355
KCT2,Tier2_SURFY_only,True,False,Q8NC54,Keratinocyte-associated transmembrane protein 2,265
CXCR3,Tier2_SURFY_only,True,False,P49682,C-X-C chemokine receptor type 3,368
DSCAML1,Tier2_SURFY_only,True,False,Q8TD84,Down syndrome cell adhesion molecule-like protein 1,2053
PCDHA3,Tier2_SURFY_only,True,False,Q9Y5H8,Protocadherin alpha-3,950
LRP12,Tier2_SURFY_only,True,False,Q9Y561,Low-density lipoprotein receptor-related protein 12,859
OR13C8,Tier2_SURFY_only,True,False,Q8NGS7,Olfactory receptor 13C8,320
PCDHGA8,Tier2_SURFY_only,True,False,Q9Y5G5,Protocadherin gamma-A8,932
GRIA4,Tier2_SURFY_only,True,False,P48058,Glutamate receptor 4,902
OR51S1,Tier2_SURFY_only,True,False,Q8NGJ8,Olfactory receptor 51S1,323
NPY5R,Tier2_SURFY_only,True,False,Q15761,Neuropeptide Y receptor type 5,445
SUSD2,Tier2_SURFY_only,True,False,Q9UGT4,Sushi domain-containing protein 2,822
CACNG5,Tier2_SURFY_only,True,False,Q9UF02,Voltage-dependent calcium channel gamma-5 subunit,275
OR3A3,Tier2_SURFY_only,True,False,P47888,Olfactory receptor 3A3,321
SLC41A3,Tier2_SURFY_only,True,False,Q96GZ6,Solute carrier family 41 member 3,507
NPC1L1,Tier2_SURFY_only,True,False,Q9UHC9,Niemann-Pick C1-like protein 1,1359
ANTXR1,Tier2_SURFY_only,True,False,Q9H6X2,Anthrax toxin receptor 1,564
SLC38A2,Tier2_SURFY_only,True,False,Q96QD8,Sodium-coupled neutral amino acid transporter 2,506
TM4SF5,Tier2_SURFY_only,True,False,O14894,Transmembrane 4 L6 family member 5,197
PI16,Tier2_SURFY_only,True,False,Q6UXB8,Peptidase inhibitor 16,463
CRHR2,Tier2_SURFY_only,True,False,Q13324,Corticotropin-releasing factor receptor 2,411
SCARB2,Tier2_SURFY_only,True,False,Q14108,Lysosome membrane protein 2,478
GRIK4,Tier2_SURFY_only,True,False,Q16099,"Glutamate receptor ionotropic, kainate 4",956
MDGA1,Tier2_SURFY_only,True,False,Q8NFP4,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,955
SLC2A11,Tier2_SURFY_only,True,False,Q9BYW1,"Solute carrier family 2, facilitated glucose transporter member 11",496
SIDT2,Tier2_SURFY_only,True,False,Q8NBJ9,SID1 transmembrane family member 2,832
MPZL3,Tier2_SURFY_only,True,False,Q6UWV2,Myelin protein zero-like protein 3,235
OR10H2,Tier2_SURFY_only,True,False,O60403,Olfactory receptor 10H2,315
SLC10A3,Tier2_SURFY_only,True,False,P09131,P3 protein,477
IL9R,Tier2_SURFY_only,True,False,Q01113,Interleukin-9 receptor,521
SLC6A3,Tier2_SURFY_only,True,False,Q01959,Sodium-dependent dopamine transporter,620
PTPRA,Tier2_SURFY_only,True,False,P18433,Receptor-type tyrosine-protein phosphatase alpha,802
TNFRSF17,Tier2_SURFY_only,True,False,Q02223,Tumor necrosis factor receptor superfamily member 17,184
NCR2,Tier2_SURFY_only,True,False,O95944,Natural cytotoxicity triggering receptor 2,276
GJB1,Tier2_SURFY_only,True,False,P08034,Gap junction beta-1 protein,283
