gene,mean_plddt,plddt_below_70,plddt_below_50
PTPRG,71.6,35.4,31.8
RXFP3,73.0,37.3,32.8
OR4C45,88.0,2.0,0.3
HTR2C,73.6,37.8,27.7
OR51L1,89.7,5.1,2.9
OR10V1,88.5,5.2,2.3
OR2AG1,85.5,7.3,4.7
ENTPD3,90.8,7.6,3.6
OR7A2P,84.2,16.1,3.2
OR13C2,83.8,16.0,5.0
OR12D3,81.9,19.0,2.2
OR4M1,89.7,3.5,1.0
DISP1,64.9,44.7,38.9
IZUMO1R,87.3,20.0,8.4
OR4Q3,87.8,8.6,3.8
EMP1,90.7,2.5,0.0
OR4F17,89.4,4.6,0.7
ADAM2,81.4,19.3,12.0
TAS2R9,82.8,17.9,3.5
MDGA2,84.8,12.9,7.0
OR52I2,83.2,16.0,3.4
OR4M2,86.1,7.7,1.3
OR56B1,83.5,16.4,4.0
OR2K2,87.1,8.9,3.2
TAAR9,90.4,5.5,3.7
CATSPERD,86.2,12.5,6.1
OPN1SW,86.9,13.0,7.0
MYADML2,86.4,12.7,4.6
PCDHGA8,73.6,31.3,27.0
OR13C8,83.7,19.4,5.3
OR51A7,90.1,8.0,2.2
OR4D5,87.0,7.5,4.7
OR4C13,88.2,4.2,1.3
GPR32,80.8,24.4,11.5
NCR2,74.3,44.9,19.2
OR6N1,91.3,4.5,1.6
TM4SF5,86.0,11.7,3.6
OR3A3,86.2,10.9,6.5
CACNG5,73.1,38.2,22.2
OR8B8,89.9,7.4,2.3
OR11H4,87.6,9.9,4.6
SCN10A,67.3,40.8,25.0
TAS2R19,85.0,12.0,0.7
P2RY4,82.6,20.5,17.0
OR6C4,89.5,6.8,1.6
OR1F1,85.9,11.9,2.2
OR10H2,88.0,10.5,3.2
GRIK4,78.4,24.0,13.7
OR3A4P,74.8,25.9,16.1
OR13F1,87.1,9.4,1.9
GPR45,83.3,19.6,11.8
OR4P4,91.5,5.8,1.0
CDH2,79.4,24.8,17.3
TEX101,81.5,29.3,13.3
LRRN2,81.9,19.2,15.1
OR1P1,82.7,13.3,7.9
OR1I1,83.4,17.5,9.3
OR6C2,90.2,6.1,1.0
OPN4,74.3,38.3,29.5
OR51S1,84.9,16.1,4.0
OR51T1,86.5,8.0,7.0
OR11A1,86.3,8.3,2.9
OR4K13,84.2,13.2,2.6
SIGLEC16,83.0,17.5,6.2
SLC2A2,86.6,12.4,9.2
TRHR,79.6,24.6,19.3
OR8J1,89.3,8.5,2.2
OR6K3,87.6,11.2,6.3
OR2D3,86.9,11.5,7.0
MC5R,82.6,18.8,12.6
CACNG2,66.6,52.6,31.6
OR8G5,83.6,16.2,12.4
GPR179,42.8,79.7,74.4
OR10A2,86.3,8.3,0.3
OR13C4,84.0,15.1,5.7
OR4C12,90.2,2.3,0.6
OR5T2,80.6,21.4,8.6
OR51B4,88.3,5.2,1.9
OR2S2,83.5,19.4,6.6
TACR3,72.8,35.5,32.5
GDPD2,90.4,6.5,1.9
OR6C1,90.4,4.5,1.0
TMPRSS15,81.5,14.0,5.7
NPBWR2,82.9,14.4,11.1
OR6F1,88.1,8.4,2.9
GPR6,77.6,28.5,22.7
OR52H1,86.9,8.9,2.9
OR6C76,90.0,7.1,1.0
MMP16,76.7,30.3,18.5
OR6Y1,86.2,12.6,7.4
KCNK18,69.8,42.4,24.5
ERVFC1,65.2,58.6,22.3
MFRP,72.5,35.4,20.6
PCDHA5,74.3,31.8,26.8
OR5M1,89.8,5.4,3.2
PCDHGA1,74.8,31.5,24.8
OR6C70,89.4,7.1,1.9
SLC22A16,84.9,13.2,6.9
PCDHB11,82.0,17.2,15.3
OR1M1,89.2,6.7,2.2
OR4C16,86.4,6.8,1.0
OR2T34,87.7,5.0,3.8
OR11H6,86.8,10.9,7.6
OR1L3,88.7,7.4,1.9
GLRA2,83.8,18.4,12.2
OR1L1,81.4,20.0,15.3
GPR150,70.8,45.2,24.7
OR5B12,89.5,7.6,1.9
OR52B2,86.8,8.4,2.8
FFAR3,86.4,15.0,8.7
OR52B6,86.8,8.7,6.0
OR2Z1,85.2,11.1,3.8
RAMP2,80.9,33.1,10.9
OR5B21,88.9,6.5,0.6
OR6B2,85.0,13.5,3.8
CLRN1,90.8,11.2,0.0
SLC39A14,73.6,33.7,22.2
OR10A3,88.3,5.7,2.2
MRGPRG,86.1,8.3,5.5
OR2T5,89.7,6.0,4.4
TAS2R38,82.2,15.9,5.4
TMX4,72.4,43.0,24.4
OR8H2,88.4,8.0,2.6
HTR5A,79.6,23.8,15.7
DAGLA,63.0,49.5,38.5
SLC35F4,66.9,41.7,30.5
MRGPRX4,81.5,23.6,9.9
HTR3E,80.8,20.4,15.8
OR4X2,85.0,8.6,0.3
OR8U1,89.8,6.8,2.6
OR1L4,88.8,6.4,2.6
CEACAM3,78.5,37.3,10.7
TAS2R39,81.2,23.7,8.6
TAAR6,90.7,5.5,2.9
OR5K3,82.9,15.3,2.2
TMEM132E,71.6,38.9,28.6
SCAP,65.3,43.2,29.9
OR8H1,89.7,6.8,2.6
SLC45A2,77.7,23.6,15.7
SERINC4,71.4,37.5,24.9
LRRC4,76.5,32.2,26.8
KIR2DL3,76.9,35.8,23.5
OR10T2,84.9,9.9,3.5
DRD3,75.4,32.8,24.8
OR6C65,89.5,5.8,2.6
SLC22A12,86.6,8.3,2.5
OR13C9,82.9,19.2,5.7
BRS3,78.9,24.1,21.8
LCT,86.2,13.8,6.4
GFRA4,68.6,48.2,36.1
OR4A5,88.4,6.7,3.2
GABRR3,75.8,29.1,21.0
PCDHB1,80.1,20.8,17.2
PCDHA2,73.6,32.6,27.8
CHRM3,66.7,46.1,38.6
TAS2R1,80.1,23.7,3.3
HTR7,73.3,35.3,25.1
OR2A2,87.1,8.2,2.2
OR10J1,85.7,10.0,5.9
SHISA8,56.9,75.6,54.9
CD300LD,80.4,30.9,15.5
TECTB,67.9,40.1,27.7
MTNR1A,85.7,16.9,10.6
OR10Q1,86.5,7.8,3.1
MFSD2B,80.4,19.4,14.3
GPR148,72.8,27.1,17.9
OR10S1,84.9,15.1,3.0
OR52K1,88.3,8.0,1.9
OR52K2,87.4,8.3,3.5
SLC22A9,85.7,11.2,4.3
GPR78,84.6,15.2,10.5
ATP13A1,78.7,18.1,8.6
ADAM21,83.1,17.9,6.2
ADAM30,79.6,22.7,15.7
SLC22A6,83.0,12.8,7.6
OR51A4,88.9,5.4,2.6
DCC,68.2,35.2,29.4
OR1B1,87.8,7.6,2.5
OR52E8,88.4,5.8,1.9
OR2T12,88.9,6.9,1.6
GFY,47.5,89.8,70.1
OR4C5,86.2,12.6,9.2
OR5K1,89.5,7.8,1.3
OR9A1P,88.0,3.5,0.6
SLC38A4,75.5,28.0,24.7
SLC36A3,84.2,14.5,11.3
OR4A15,85.3,14.2,9.6
OR1N1,89.0,8.7,1.6
MRGPRX2,81.7,19.7,9.4
OR4X1,88.0,3.0,1.0
OR4K2,86.1,8.3,2.2
TAS2R46,86.1,9.1,0.3
TAAR5,85.2,10.7,6.8
ROBO1,60.0,52.9,50.6
OR6C75,89.8,6.4,1.0
SCN11A,69.3,37.5,21.3
OR52A5,89.5,5.1,2.2
MUC22,67.5,38.2,23.2
OR2M2,79.7,22.5,11.0
OR5AC1,90.7,4.9,1.3
OR7D2,88.4,3.8,2.6
SLC5A8,85.7,13.9,10.7
GPR152,70.8,43.4,33.4
OR5H2,88.5,6.1,1.3
OR10H3,86.8,9.5,2.2
GFRAL,76.8,26.9,19.5
OR10A7,90.1,5.7,0.6
OR6A2,83.9,14.1,7.6
OR2T29,89.7,6.0,4.4
OR5H6,85.3,14.5,7.7
SLC10A5,80.2,20.8,5.9
OR10D3,89.0,5.4,2.6
CHRNA3,81.1,23.8,16.4
OPN1LW,82.2,17.9,14.6
ZP4,74.7,33.0,15.4
OR14J1,87.6,10.6,1.9
GPR151,78.1,30.1,20.3
GP5,86.5,14.8,11.8
KIRREL3,72.4,36.2,33.7
SLC22A13,84.7,11.8,6.2
AMHR2,77.6,29.7,18.5
APLP1,68.0,44.9,34.2
SLC10A1,83.5,17.5,9.7
GPC2,79.0,27.6,23.1
SLC2A14,87.6,11.2,9.2
LRIT2,77.2,27.8,15.6
LDLRAD4,58.7,72.9,43.8
SLC14A2,82.4,21.1,19.6
SUSD2,90.9,6.8,4.0
PCDHB12,81.5,18.2,15.6
PIEZO1,72.0,32.7,17.0
SIGLEC11,74.1,33.0,21.3
MMP25,78.2,26.3,18.5
CLDN19,80.9,24.1,12.5
IL18RAP,77.8,25.5,14.0
SELE,83.0,15.1,11.3
LINGO2,84.8,16.7,14.2
ADAM22,73.2,34.1,28.4
SLC5A11,81.8,17.8,11.0
NUP210L,79.5,16.2,6.4
CUZD1,79.2,24.9,15.2
MEGF9,66.5,52.2,42.0
GPR61,69.3,46.6,32.8
IZUMO1,81.1,26.6,18.3
HAVCR1,65.8,61.8,32.1
PCDHA3,73.7,32.6,28.9
SIGLEC6,77.3,32.2,17.2
TREH,92.4,8.2,7.5
CRHR2,78.4,27.0,5.6
SLC39A12,69.4,36.6,26.0
SCN2A,68.8,37.8,25.7
GABRA5,81.0,21.9,17.5
SLC36A2,84.1,14.9,12.8
SIRPB2,76.3,32.7,20.8
PCDHGB3,75.4,28.7,26.2
GABRB2,76.5,31.1,25.2
PTGDR,79.4,23.7,11.7
CA14,90.7,13.4,5.6
SLC7A9,85.5,7.0,3.5
TNFRSF8,61.2,60.3,48.4
CD177,85.2,15.1,9.4
SLITRK5,65.5,45.9,40.9
OSMR,73.5,31.4,21.1
BEST4,82.4,23.7,19.7
HTR1B,79.2,27.2,19.5
TYRP1,91.7,11.0,7.1
TAS2R30,85.3,13.2,0.6
NETO1,71.7,40.7,37.1
SLC28A2,82.1,17.2,9.3
ERMAP,81.3,23.4,18.5
SLC10A4,70.9,39.1,31.1
TAS2R4,84.8,11.4,4.3
OPCML,83.4,20.3,17.7
ISLR2,66.6,48.7,37.9
NTRK1,78.2,24.4,14.9
OR51E2,88.9,6.6,0.6
UTS2R,76.2,30.3,23.1
FZD9,80.9,21.5,14.6
HTR4,80.9,22.7,15.7
PROKR1,77.2,27.0,18.8
CEACAM8,86.9,18.1,11.5
GRM2,85.7,11.7,6.4
SLC5A4,85.1,12.1,5.2
CORIN,69.8,35.9,16.3
PCDH8,69.7,39.6,35.6
DRD1,72.5,38.3,26.7
PTPRT,83.6,13.8,10.2
TMEM231,88.4,5.4,3.2
ABCB11,83.1,12.3,8.8
ATP1B3,89.7,5.7,1.1
SLC4A4,70.5,35.8,24.0
CDHR1,78.7,23.6,15.5
KCNJ4,78.8,28.8,21.8
CEACAM4,77.3,41.0,13.1
P2RY12,84.5,19.3,11.1
SLC6A7,86.0,15.6,10.4
SLC15A4,84.8,16.8,7.5
CLEC4M,70.4,57.4,16.8
SLC4A1,82.2,16.7,10.3
VN1R1,77.6,26.1,14.2
CACNG6,77.7,30.0,6.2
TECTA,77.4,21.9,8.7
IL15RA,64.5,62.2,39.7
SORCS2,77.9,22.6,17.7
IL20RB,83.7,24.1,8.4
GJC3,75.8,35.8,15.4
FLT3,75.9,28.9,15.6
SCTR,76.6,31.4,12.7
SLC26A5,83.7,15.6,7.9
EGFR,75.9,29.3,22.8
CD1D,89.9,11.3,7.2
MRGPRE,85.2,17.0,6.4
CR1,65.2,59.9,9.2
GPR20,78.9,24.0,20.1
LINGO3,85.9,14.9,12.8
SEMA4C,81.7,23.4,17.4
AQP8,91.3,10.3,9.2
SLC22A1,84.2,10.5,5.1
LNPEP,88.8,13.8,12.1
TAS2R20,87.2,7.1,0.3
LAYN,68.5,50.8,35.3
ATG9A,73.7,33.6,27.7
CXCR1,78.1,23.1,10.0
SLC5A6,79.4,21.3,17.3
ABCC10,80.9,15.8,8.0
GPR83,76.0,31.7,25.1
EPHA6,78.5,24.0,14.3
INSRR,78.0,23.3,14.0
IL1RAPL1,76.7,27.3,20.8
CCKBR,75.7,32.9,25.3
CHRNA10,82.2,20.2,10.9
GRIN3B,75.1,27.8,15.1
BDKRB1,85.1,18.1,8.5
MUSK,76.5,30.3,16.2
GSG1,70.7,45.0,26.6
ABCG4,83.2,14.9,11.1
CDH12,77.3,27.0,21.3
SSTR5,81.2,24.2,19.5
TSPAN5,89.2,8.6,4.5
KEL,87.4,10.4,5.2
ABCG2,85.2,14.4,9.6
BEST2,80.3,26.1,25.0
SLC24A4,70.8,35.2,23.3
ZP1,73.0,31.0,24.3
MFAP3L,61.6,59.2,43.3
TAS1R1,88.4,7.4,1.5
GPR62,76.5,34.2,12.2
GPR63,75.0,33.2,23.9
SLC2A8,85.4,12.2,8.4
GPR88,75.8,35.2,21.6
CRB1,75.0,27.2,10.2
PCDHGB2,75.7,28.7,26.9
PILRA,69.5,52.5,36.0
CACNG8,58.6,64.2,49.2
GPR52,81.8,21.3,13.0
CRHR1,77.3,28.9,8.9
OSTM1,73.9,40.7,21.3
TNFRSF1A,71.4,41.8,31.9
CHRND,83.7,17.4,5.6
ATP4B,90.6,4.5,0.7
GRIN2A,60.8,51.9,43.3
DLL4,74.9,31.1,19.9
CD79B,75.4,41.9,7.9
STAB2,70.5,39.9,9.2
PCDHB3,81.7,17.6,15.3
FNDC9,66.8,52.7,34.8
CTNS,89.4,9.3,5.7
ADAM19,69.9,39.2,32.6
KREMEN1,78.9,32.6,28.3
ACVR1C,84.8,19.5,6.1
GRM7,84.4,14.3,6.7
KLRF1,78.1,32.9,21.6
CLCNKB,87.2,8.6,3.8
SLC10A6,77.3,26.5,19.4
PCDHGA10,74.4,30.9,26.6
ITGAE,80.6,20.4,7.0
SLC26A4,82.7,17.4,10.5
RHAG,95.6,3.2,1.7
SLC5A10,87.8,6.4,3.7
NPC1,85.1,9.5,3.5
PTGER1,74.8,36.8,25.1
SCN5A,67.2,41.3,26.4
FCAR,83.6,23.3,8.4
CDON,62.0,48.4,36.7
SHISA9,56.7,74.5,55.2
NOTCH2,59.4,64.8,27.2
S1PR3,79.3,26.7,17.7
GINM1,70.1,40.9,35.2
ERVW-1,59.3,67.8,30.5
FFAR1,89.8,7.3,5.7
ABCA1,73.2,33.0,8.7
MCOLN1,81.3,17.6,12.8
CDHR4,78.6,23.5,10.5
P2RX2,79.9,23.8,17.0
SLC8A1,74.7,29.6,19.3
PCDH19,68.6,43.1,39.5
PCDHGA5,74.9,29.9,25.9
ICAM5,80.1,18.3,13.1
VSIG10L,70.0,37.6,32.2
PTPRN2,63.4,51.5,44.3
TSPAN2,87.4,10.0,1.8
PCDHGC4,75.0,30.8,26.4
GRM3,85.3,13.2,6.4
NTNG2,84.5,16.2,6.8
MEGF11,74.4,21.4,18.4
PTGDR2,81.0,24.3,15.7
ABCA2,70.8,35.2,16.3
SLC6A17,81.0,19.7,17.1
RTN4RL1,76.0,36.1,35.1
PCDHB6,81.6,18.8,14.2
SLC46A3,86.9,11.9,4.8
CASD1,87.8,6.9,2.6
TMEM132D,70.4,40.0,28.8
JAG1,73.1,30.5,13.6
SLC2A12,74.9,29.3,25.8
GHRHR,75.8,32.2,12.1
AVPR1A,73.4,38.0,21.1
ASGR1,86.2,17.5,12.7
CNTN6,86.1,8.6,5.1
ANTXRL,63.1,50.7,43.4
LHCGR,80.1,22.6,15.5
TYRO3,74.8,29.8,20.4
LRRTM2,79.1,31.2,21.9
PCDHGA11,75.2,30.8,24.6
GPR75,63.9,56.5,39.1
PCDH11Y,64.3,46.0,40.1
DRD4,77.1,34.4,22.7
DRD2,72.5,39.1,26.4
DSC1,76.7,28.6,23.6
ATP6V0A2,81.6,15.4,9.6
PRNP,64.2,50.2,38.7
CSF3R,73.7,32.2,23.4
CHPT1,90.9,9.4,6.7
SLC39A5,67.3,44.1,33.1
SLC6A2,87.2,12.6,8.4
SLC8B1,80.7,19.7,12.2
SLC6A4,84.7,14.8,13.7
TMEM255A,66.0,57.3,33.2
SSTR2,81.3,22.0,11.7
ANO3,75.8,24.3,17.7
PTGER2,77.6,29.9,15.4
TSPAN11,87.7,7.5,2.8
SLC18A2,77.7,24.9,18.7
SLC16A8,77.1,25.4,22.8
OPRK1,79.5,25.3,13.9
LY6D,79.3,31.2,3.9
KCNMB3,72.1,36.9,15.1
GPR22,72.3,36.5,27.0
SLC8A2,76.6,27.4,13.8
DCT,89.1,12.1,8.9
TENM3,77.4,21.7,15.7
GPC5,77.9,29.9,25.0
SLC9A3,66.0,44.4,32.6
SLC13A4,77.3,23.5,18.1
CLEC4G,89.7,10.9,9.2
PCDHB7,81.8,17.7,15.1
HTR2A,73.7,38.6,27.4
C5AR2,86.5,17.2,3.9
CACNA1G,58.2,55.7,46.3
NIPAL4,79.3,28.5,14.4
ATRNL1,80.5,19.0,10.3
CACNA1I,59.7,53.9,42.4
LRRC38,86.1,15.3,7.1
SLC1A6,80.2,24.6,10.3
LRP10,67.0,43.5,29.7
LRRTM4,74.0,37.3,30.0
CACNG1,77.0,32.0,8.6
OR2W3,77.3,29.6,12.4
LRRC37A3,42.3,83.7,76.5
MRC1,82.1,16.6,8.4
FAS,77.9,31.0,16.4
HRH3,75.6,30.1,24.0
KLRG1,81.3,28.2,19.0
CEACAM7,84.1,23.8,10.6
PCDHGA4,73.9,32.4,26.7
CHRNA2,77.0,25.7,23.6
LILRA6,85.3,14.6,10.8
SLC7A10,83.4,12.6,10.7
ADRA1D,64.8,53.0,41.4
PCDHGA7,74.0,30.7,26.6
SLC51B,67.5,58.6,16.4
SLC7A3,83.7,14.9,6.6
ENPP4,92.3,10.6,6.0
LY6K,72.8,43.0,17.0
CHRNE,80.7,21.5,4.7
MEGF10,70.8,28.3,24.7
ADAM32,76.5,27.6,20.1
LY6G6C,84.6,21.6,0.8
ATP13A5,78.8,18.9,9.4
NPC1L1,84.2,12.7,6.4
IL3RA,85.3,20.6,8.7
MALRD1,71.3,34.6,13.1
CD93,72.3,31.4,23.2
PCDHGC5,74.4,31.1,28.8
TMEM150A,89.7,12.5,9.6
P2RY1,85.3,15.3,10.2
SEZ6,69.8,36.5,31.0
NMUR1,80.6,20.7,17.4
AJAP1,50.1,90.0,69.3
GLP2R,73.5,33.1,26.2
P2RY11,80.7,17.1,15.0
GPR26,91.0,5.3,3.6
NKAIN2,76.0,39.4,10.6
SLC12A1,78.2,20.7,16.6
ATP1A4,87.5,7.1,2.3
CHODL,75.8,36.6,23.1
SLC6A3,86.9,12.7,11.3
TBXA2R,86.2,15.7,6.7
EPHA3,80.8,22.1,12.8
PRPH2,87.0,13.9,5.2
GCGR,81.9,18.4,10.7
TACR2,79.8,23.6,17.6
ENPP6,92.4,10.5,9.1
PCDH11X,64.0,44.2,39.9
SLC1A2,77.8,27.4,16.4
THSD7A,67.3,42.5,15.0
NCR3LG1,77.6,32.4,17.2
UPK3B,52.7,65.6,58.4
ASIC4,79.7,22.3,17.8
ITLN1,92.5,11.2,8.6
SLITRK4,68.1,40.3,35.0
TPSG1,82.4,26.2,15.9
TAS2R14,81.7,18.6,5.0
TACR1,78.4,27.8,18.4
PCDHGA6,74.4,30.7,25.6
LRP3,67.4,41.6,29.4
ROR1,68.2,40.8,31.8
HRH2,82.9,22.0,13.6
SLC26A1,82.6,17.1,9.4
GRIN2C,67.5,42.3,31.1
PGAP1,89.1,7.0,3.4
IL1R2,83.8,18.6,11.1
ABCC2,81.2,13.9,8.1
PTCHD1,84.2,11.1,6.0
TMEM108,45.3,92.3,75.7
GRID2,75.9,27.8,16.5
PLXNA3,84.5,11.7,4.9
PAM,71.7,36.7,31.7
ART4,80.3,27.4,16.6
CHRM1,74.7,35.0,30.7
LRRC4C,75.8,32.2,27.0
GPBAR1,80.4,19.7,8.5
ADORA2A,80.4,26.7,23.5
ADAM11,79.8,22.4,14.4
PIK3IP1,67.1,52.9,27.0
PECAM1,80.4,21.0,16.9
SLC4A5,68.4,38.0,27.7
RPRML,58.6,77.5,37.5
CD163,77.5,22.3,13.7
CHRM2,72.1,40.8,32.0
SLC6A13,88.8,10.6,7.8
KCNJ12,80.7,25.9,19.9
PTPRQ,74.9,22.6,9.6
NIPAL2,79.3,24.8,19.3
IGDCC4,70.3,35.1,28.0
CNTN2,85.7,9.1,6.4
SLCO1C1,78.5,24.0,16.4
NALCN,76.7,26.4,19.7
ACKR4,81.7,18.0,9.7
LTK,73.7,32.5,23.8
TM4SF20,73.4,40.6,19.7
NRG4,78.0,29.6,1.7
SORT1,82.9,19.3,16.6
TSPAN18,90.6,2.4,0.0
SLC2A11,88.5,5.6,4.8
CD248,63.5,54.4,45.8
FLRT1,72.6,36.4,30.7
SV2A,76.8,26.4,15.5
TMPRSS5,79.3,24.3,17.7
CLEC2D,86.1,22.0,6.3
SLC4A7,67.5,39.1,29.3
SLC8A3,76.8,27.2,14.9
OXGR1,86.4,11.9,6.5
C19orf18,61.5,56.3,38.6
EREG,68.7,40.8,23.7
HBEGF,66.5,51.4,24.0
FLT1,72.6,31.9,23.6
AQP4,81.0,25.4,20.4
IGSF1,73.2,32.3,13.4
SLC22A7,85.0,10.9,5.7
CDH20,77.3,27.2,20.8
TMEM132B,70.0,39.4,29.6
SCN9A,69.1,36.9,25.2
SLC2A13,80.0,19.8,15.1
CD22,79.4,21.4,17.7
RGMB,79.5,29.3,19.5
ASTN1,64.4,50.6,34.5
TMPRSS11D,90.4,8.4,1.9
CDH4,78.7,25.7,19.3
BCAN,68.9,41.8,37.2
CLDN18,72.8,40.6,20.7
NRXN2,74.4,31.2,25.5
SLC51A,82.3,15.6,6.2
SLC43A3,82.7,15.9,11.4
LYPD2,76.1,40.0,11.2
UNC5C,78.1,25.2,20.8
GABRB3,80.1,26.2,19.5
PTGER4,70.9,43.0,30.5
LRRC3B,85.8,13.5,2.7
KL,89.1,9.6,5.5
TMX3,85.3,17.8,10.6
EPHA7,81.9,17.7,11.2
PCDH18,68.8,41.2,37.5
SSPN,74.1,34.2,27.6
NRXN3,75.4,28.1,24.5
SCN4A,72.4,32.0,18.0
CSF1,57.4,67.7,61.4
NPY2R,82.5,18.9,12.3
DSG1,62.1,56.7,43.9
EDA2R,68.8,50.2,38.7
EPHA5,79.4,22.0,16.7
NPY5R,75.7,30.8,18.2
GPR4,80.7,22.4,15.7
ITGA2B,88.1,10.7,7.4
NCAM2,81.4,18.9,16.1
PCDHGA3,74.7,31.2,26.4
GRIK1,81.1,19.0,10.2
SHISA7,54.0,81.0,59.7
CDH26,72.3,35.1,26.1
LRIG1,74.6,31.5,28.5
PCDH20,78.1,21.9,17.0
SIRPA,77.8,33.3,24.6
ACKR2,80.4,25.0,16.4
GSG1L,71.6,40.8,27.5
LGR5,80.2,22.5,17.4
SEMA4D,80.8,25.2,21.9
GJA1,69.8,41.9,30.6
IL4R,54.8,70.7,59.2
ADCY9,70.2,37.7,28.5
KCNMB1,84.1,9.9,0.0
LGR6,77.4,26.5,21.6
LSAMP,83.8,21.6,14.8
NLGN4X,79.1,28.2,23.8
DPP10,90.4,7.4,5.3
PLB1,82.0,20.0,10.2
ACKR3,82.5,19.1,7.2
ADRB1,75.3,36.3,26.2
NRN1L,73.0,44.8,14.5
SLC38A11,88.5,7.6,6.2
GIPR,78.5,25.8,10.1
NLGN3,76.4,32.8,26.8
LRP4,77.1,24.6,13.6
SLC47A1,85.8,15.3,13.7
PLD5,83.1,22.2,13.8
CNTNAP4,83.4,16.8,10.4
ATP2B4,72.7,27.8,21.3
GJC2,67.1,52.8,33.5
OMG,67.0,47.0,38.0
NPY6R,81.5,21.0,12.4
CALY,54.7,88.9,39.2
BACE1,87.5,15.6,11.0
GNRHR2,75.7,26.7,9.6
LRIG2,74.5,30.6,26.8
OPALIN,62.5,76.6,12.1
IL6ST,74.6,32.8,28.4
ACVR2A,83.5,19.5,11.3
SLC19A3,81.6,20.2,16.5
VASN,73.8,35.2,25.1
SCN3A,68.3,38.4,25.9
PCDHGB4,75.5,28.9,25.8
KCNMB4,87.2,9.5,0.0
TRHDE,84.6,17.0,11.8
SLC17A7,80.0,24.3,10.9
ATP2B3,74.3,26.0,18.9
SLC3A1,87.0,13.1,8.6
ITGA9,85.1,12.3,4.0
LRIG3,73.0,32.7,30.3
LRFN5,73.9,35.7,28.9
SV2B,82.0,18.2,8.1
PCDHGB5,75.4,29.1,25.8
EPHB1,83.6,14.4,7.8
SLCO3A1,75.5,30.3,21.1
SCNN1B,82.5,20.5,8.4
MC1R,80.5,18.0,10.7
ADRA2B,71.6,38.7,31.1
GRIK2,83.6,15.5,4.7
GABRA4,73.0,38.8,30.3
CDH10,78.4,25.5,18.1
SCN2B,85.8,20.9,3.3
SLC5A7,84.3,12.9,8.8
GRIK3,82.3,18.3,6.6
VLDLR,75.7,24.6,14.8
TNFRSF10D,61.0,65.3,52.8
ICAM2,87.1,18.9,2.9
EMP3,90.9,1.8,0.0
FKRP,93.9,4.6,3.2
P2RX7,88.0,9.6,3.7
P2RY14,87.1,14.8,7.7
CDH22,75.4,32.5,23.9
DSCAML1,69.4,32.1,24.3
RPRM,60.8,72.5,33.0
LRRN3,83.1,21.3,11.6
GRIA4,82.7,16.9,8.9
AVPR2,76.0,29.4,18.6
CRIM1,67.1,38.7,22.2
LHFPL4,82.8,17.8,9.3
SLC41A1,77.9,23.8,19.3
SORCS3,74.7,27.8,22.8
CHRNA4,71.9,36.5,30.6
LRRC37A,42.0,83.9,77.7
ABCA7,75.3,25.4,10.9
ESYT3,71.1,34.8,25.5
SLC36A4,81.9,20.0,16.5
CDHR5,68.3,46.0,43.0
SLC5A9,82.9,16.2,11.0
GABRG1,78.6,26.7,22.6
SUSD5,56.1,71.2,55.6
PCDHGA9,75.3,30.2,25.0
CDH18,77.6,24.7,18.1
PCDHB5,81.6,18.5,13.8
GRIN2B,60.7,53.0,44.1
ACHE,92.9,8.3,5.5
GPR35,84.4,17.5,5.5
MAG,80.8,22.2,18.2
GPC1,82.5,25.4,15.2
NOTCH1,59.6,65.2,26.6
PKD1L2,71.0,36.6,12.4
PTGFR,80.6,26.2,15.0
PCDH10,73.2,36.1,33.4
SLC23A2,77.4,23.7,19.1
TSPAN4,89.7,5.9,0.0
PCDHGA12,74.6,30.2,25.3
GFRA2,75.0,37.3,27.4
SERINC1,77.5,28.0,13.0
PCDHB15,81.8,18.2,14.1
SCN3B,86.2,12.6,3.7
ZFYVE27,70.1,43.1,25.3
MFSD8,83.3,14.9,12.4
RHCG,92.3,8.6,3.5
PTGER3,76.1,33.1,19.2
LRRC24,77.0,32.7,21.6
SSTR1,78.8,28.6,21.5
ATP2B2,73.4,28.0,21.0
IGSF11,73.7,40.1,27.1
EDA,69.6,48.8,33.0
ADRA1B,67.4,48.8,36.5
ANPEP,93.1,4.1,2.8
PTPRD,82.8,12.7,6.5
BST1,89.7,15.7,7.9
HEPACAM,72.6,44.2,30.0
SLC6A1,88.0,11.5,9.0
SLITRK3,63.8,49.5,42.0
PCDHGA2,74.9,31.4,24.7
ERBB4,73.1,33.3,26.9
GALR1,83.8,18.1,10.0
ADRA1A,70.3,39.1,35.2
SLC17A9,89.5,7.6,5.5
MICA,81.7,23.0,17.5
CLSTN2,78.9,22.8,17.9
SLC26A3,85.0,11.8,7.1
PCDH9,67.8,38.9,34.4
TLR4,89.2,9.9,5.5
GRIA1,81.0,19.0,11.9
AMIGO1,78.1,29.8,21.9
SEMA6B,73.8,36.8,31.8
GABRA1,81.7,24.1,16.4
C1orf159,49.2,87.9,61.8
MDGA1,84.6,14.6,8.5
CLCA4,89.3,8.6,5.0
NPR3,84.1,20.0,11.5
LILRB3,74.0,35.5,29.5
ADAM23,76.1,29.6,19.8
GABRA2,83.3,21.7,10.9
IL17RC,73.6,29.3,20.0
PCDHGB6,75.1,29.2,26.8
GRIA3,83.6,15.5,7.4
TMPRSS11B,91.5,5.8,3.1
AXL,75.1,29.8,20.4
GRID1,75.0,30.0,16.4
ANO2,73.6,31.4,18.9
